https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BAT,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1750982400000,2025-06-27 00:00:00,BAT/USDT,0.1139,0.1139,0.1139,0.1139,0,0,0,0,0,0.113
1750896000000,2025-06-26 00:00:00,BAT/USDT,0.1139,0.1139,0.1139,0.1139,0,0,0,0,0,0.113
1750809600000,2025-06-25 00:00:00,BAT/USDT,0.1139,0.1139,0.1139,0.1139,0,0,0,0,0,0.113
1750723200000,2025-06-24 00:00:00,BAT/USDT,0.1139,0.1139,0.1139,0.1139,0,0,0,0,0,0.113
1750636800000,2025-06-23 00:00:00,BAT/USDT,0.1113,0.1139,0.1073,0.1139,71.1174,629.4305,64.1733,565.5795,23,0.113
1750550400000,2025-06-22 00:00:00,BAT/USDT,0.1122,0.1122,0.112,0.112,17.5521,156.627,0,0,8,0.112
1750464000000,2025-06-21 00:00:00,BAT/USDT,0.12,0.12,0.115,0.115,30.1629,258.0077,0,0,9,0.1169
1750377600000,2025-06-20 00:00:00,BAT/USDT,0.1232,0.125,0.1232,0.1234,389.3898,3116.3582,389.3898,3116.3582,5,0.1249
1750291200000,2025-06-19 00:00:00,BAT/USDT,0.1238,0.1238,0.12,0.12,0.4384,3.6526,0,0,2,0.12
1750204800000,2025-06-18 00:00:00,BAT/USDT,0.125,0.125,0.1238,0.1238,7.299,58.92,0,0,2,0.1238
1750118400000,2025-06-17 00:00:00,BAT/USDT,0.125,0.125,0.125,0.125,0,0,0,0,0,0.125
1750032000000,2025-06-16 00:00:00,BAT/USDT,0.125,0.125,0.125,0.125,0,0,0,0,0,0.125
1749945600000,2025-06-15 00:00:00,BAT/USDT,0.125,0.125,0.125,0.125,0,0,0,0,0,0.125
1749859200000,2025-06-14 00:00:00,BAT/USDT,0.125,0.125,0.125,0.125,0,0,0,0,0,0.125
1749772800000,2025-06-13 00:00:00,BAT/USDT,0.125,0.125,0.125,0.125,7.5,60,0,0,1,0.125
1749686400000,2025-06-12 00:00:00,BAT/USDT,0.1348,0.1348,0.1348,0.1348,0,0,0,0,0,0.1348
1749600000000,2025-06-11 00:00:00,BAT/USDT,0.1348,0.1348,0.1348,0.1348,425.4685,3156.2951,424.4663,3148.86,2,0.1348
1749513600000,2025-06-10 00:00:00,BAT/USDT,0.1397,0.1399,0.1254,0.1385,81.1481,613.4743,69.4302,525.3641,17,0.1323
1749427200000,2025-06-09 00:00:00,BAT/USDT,0.1282,0.1282,0.1281,0.1281,4.5021,35.1398,3.4999,27.3219,5,0.1281
1749340800000,2025-06-08 00:00:00,BAT/USDT,0.1301,0.1301,0.1207,0.1207,6.1914,50.1738,0,0,3,0.1235
1749254400000,2025-06-07 00:00:00,BAT/USDT,0.1316,0.1316,0.1316,0.1316,0,0,0,0,0,0.1315
1749168000000,2025-06-06 00:00:00,BAT/USDT,0.1316,0.1316,0.1316,0.1316,0,0,0,0,0,0.1315
1749081600000,2025-06-05 00:00:00,BAT/USDT,0.1316,0.1316,0.1316,0.1316,0,0,0,0,0,0.1315
1748995200000,2025-06-04 00:00:00,BAT/USDT,0.1316,0.1316,0.1316,0.1316,0,0,0,0,0,0.1315
1748908800000,2025-06-03 00:00:00,BAT/USDT,0.1312,0.1316,0.1312,0.1316,2.5043,19.0417,2.5043,19.0417,4,0.1315
1748822400000,2025-06-02 00:00:00,BAT/USDT,0.1249,0.1249,0.1249,0.1249,0,0,0,0,0,0.1245
1748736000000,2025-06-01 00:00:00,BAT/USDT,0.1251,0.1251,0.1201,0.1249,29.7224,238.7552,4.8831,39.2587,13,0.1245
1748649600000,2025-05-31 00:00:00,BAT/USDT,0.1298,0.1298,0.1298,0.1298,0,0,0,0,0,0.1351
1748563200000,2025-05-30 00:00:00,BAT/USDT,0.1401,0.1401,0.1298,0.1298,140.4427,1040.334,41.9254,323,22,0.1351
1748476800000,2025-05-29 00:00:00,BAT/USDT,0.142,0.142,0.14,0.14,433.2623,3063.8706,0,0,13,0.1414
1748390400000,2025-05-28 00:00:00,BAT/USDT,0.1414,0.1414,0.1414,0.1414,0,0,0,0,0,0.1414
1748304000000,2025-05-27 00:00:00,BAT/USDT,0.1414,0.1414,0.1414,0.1414,50.1056,354.3538,0,0,13,0.1414
1748217600000,2025-05-26 00:00:00,BAT/USDT,0.1415,0.1415,0.1415,0.1415,0,0,0,0,0,0.143
1748131200000,2025-05-25 00:00:00,BAT/USDT,0.1457,0.1457,0.1415,0.1415,89.1168,623.0042,0,0,3,0.143
1748044800000,2025-05-24 00:00:00,BAT/USDT,0.1425,0.1425,0.1425,0.1425,1.7687,12.4121,0,0,1,0.1425
1747958400000,2025-05-23 00:00:00,BAT/USDT,0.1481,0.1481,0.1462,0.1462,128.2083,876.7957,1.4665,9.9027,5,0.1462
1747872000000,2025-05-22 00:00:00,BAT/USDT,0.1495,0.1565,0.1495,0.1565,359.0469,2308.3685,359.0469,2308.3685,4,0.1555
1747785600000,2025-05-21 00:00:00,BAT/USDT,0.1462,0.1462,0.1462,0.1462,1.8182,12.437,1.8182,12.437,1,0.1462
1747699200000,2025-05-20 00:00:00,BAT/USDT,0.1415,0.1415,0.1415,0.1415,1578.6184,11156.3142,1526.2514,10786.2294,5,0.1415
1747612800000,2025-05-19 00:00:00,BAT/USDT,0.1415,0.1415,0.1415,0.1415,0,0,0,0,0,0.1415
1747526400000,2025-05-18 00:00:00,BAT/USDT,0.1415,0.1415,0.1415,0.1415,0.133,0.94,0,0,1,0.1415
1747440000000,2025-05-17 00:00:00,BAT/USDT,0.1498,0.1498,0.1497,0.1497,40.026,267.2302,0,0,3,0.1497
1747353600000,2025-05-16 00:00:00,BAT/USDT,0.1504,0.1504,0.1503,0.1503,15.6724,104.2063,0,0,2,0.1503
1747267200000,2025-05-15 00:00:00,BAT/USDT,0.1504,0.1504,0.1504,0.1504,4.6022,30.6,0,0,1,0.1504
1747180800000,2025-05-14 00:00:00,BAT/USDT,0.1655,0.1655,0.1503,0.1575,73.7576,474.2432,28.6625,181.3568,6,0.1556
1747094400000,2025-05-13 00:00:00,BAT/USDT,0.1643,0.1643,0.1554,0.1554,2.8029,17.5344,1.4418,8.776,2,0.1599
1747008000000,2025-05-12 00:00:00,BAT/USDT,0.166,0.166,0.163,0.163,41.2859,249.1307,31.0109,186.8132,5,0.1657
1746921600000,2025-05-11 00:00:00,BAT/USDT,0.169,0.1691,0.152,0.1624,11.3938,69.9401,6.7496,40.3571,10,0.1631
1746835200000,2025-05-10 00:00:00,BAT/USDT,0.159,0.1682,0.1517,0.1609,28.4115,177.4686,22.7591,141.1688,12,0.1601
1746748800000,2025-05-09 00:00:00,BAT/USDT,0.149,0.1582,0.149,0.1582,24.9205,161.9553,24.9205,161.9553,8,0.1539
1746662400000,2025-05-08 00:00:00,BAT/USDT,0.1445,0.1445,0.1445,0.1445,8.381,58,8.381,58,1,0.1445
1746576000000,2025-05-07 00:00:00,BAT/USDT,0.13,0.13,0.13,0.13,0,0,0,0,0,0.1347
1746489600000,2025-05-06 00:00:00,BAT/USDT,0.1362,0.137,0.13,0.13,21.2363,157.6744,5.9998,43.9085,7,0.1347
1746403200000,2025-05-05 00:00:00,BAT/USDT,0.1418,0.1418,0.1418,0.1418,3.4135,24.0733,3.4135,24.0733,1,0.1418
1746316800000,2025-05-04 00:00:00,BAT/USDT,0.1412,0.1412,0.1411,0.1411,7.9699,56.4492,0,0,3,0.1411
1746230400000,2025-05-03 00:00:00,BAT/USDT,0.1531,0.1531,0.1531,0.1531,0,0,0,0,0,0.1531
1746144000000,2025-05-02 00:00:00,BAT/USDT,0.1531,0.1531,0.1531,0.1531,0,0,0,0,0,0.1531
1746057600000,2025-05-01 00:00:00,BAT/USDT,0.1531,0.1531,0.1531,0.1531,1,6.5317,1,6.5317,1,0.1531
