Modelo,Linear,MelhorPolinomial,R2_Polinomial
Linear,y = 0.9977x + 0.0008,"Pol grau 10: [ 3.97428574e-02 -1.87482380e-01  1.35082053e+01 -7.94226922e+01
  2.71529492e+02 -5.70084340e+02  7.53208439e+02 -6.25783612e+02
  3.16350968e+02 -8.87204648e+01  1.05683353e+01]",0.9978
POLINOMIAL_2,y = 0.9962x + 0.0013,"Pol grau 10: [ 7.47126010e-02 -8.89398364e-01  1.92875335e+01 -1.04974004e+02
  3.38386818e+02 -6.77922921e+02  8.61517384e+02 -6.92157796e+02
  3.39547539e+02 -9.26053432e+01  1.07399348e+01]",0.9965
POLINOMIAL_3,y = 0.9967x + 0.0011,"Pol grau 10: [ 1.01309187e-01 -1.40454848e+00  2.37881686e+01 -1.27430934e+02
  4.07040756e+02 -8.12124591e+02  1.03228973e+03 -8.32431727e+02
  4.10977447e+02 -1.13042503e+02  1.32449961e+01]",0.9969
POLINOMIAL_4,y = 0.9972x + 0.0010,"Pol grau 10: [ 1.38585285e-01 -2.28769765e+00  3.20566216e+01 -1.68200278e+02
  5.25961134e+02 -1.02935517e+03  1.28670886e+03 -1.02289054e+03
  4.98961694e+02 -1.35876287e+02  1.57920735e+01]",0.9973
POLINOMIAL_5,y = 0.9976x + 0.0008,"Pol grau 10: [ 1.13362481e-01 -1.58493613e+00  2.44669050e+01 -1.25639303e+02
  3.86246239e+02 -7.44077355e+02  9.14998587e+02 -7.14722045e+02
  3.42159085e+02 -9.13594552e+01  1.04048030e+01]",0.9977
POLINOMIAL_6,y = 0.9979x + 0.0007,"Pol grau 10: [ 7.41206877e-02 -8.72991971e-01  1.91213477e+01 -1.02711715e+02
  3.21967365e+02 -6.21631598e+02  7.58345622e+02 -5.84437354e+02
  2.75328560e+02 -7.22728875e+01  8.09123529e+00]",0.9979
POLINOMIAL_7,y = 0.9982x + 0.0006,"Pol grau 10: [ 8.25839901e-02 -8.34325591e-01  1.67360999e+01 -8.21209415e+01
  2.40328196e+02 -4.41494819e+02  5.20330260e+02 -3.91989242e+02
  1.82128045e+02 -4.74678750e+01  5.30310396e+00]",0.9982
POLINOMIAL_8,y = 0.9984x + 0.0006,"Pol grau 10: [-2.64980693e-02  1.46082627e+00 -2.61113481e+00  4.39193858e+00
  1.07460180e+01 -5.88498154e+01  1.09714751e+02 -1.08888303e+02
  6.10479122e+01 -1.82465472e+01  2.26271986e+00]",0.9984
POLINOMIAL_9,y = 0.9985x + 0.0005,"Pol grau 10: [ 1.06886588e-01 -1.55372257e+00  2.48709575e+01 -1.29239156e+02
  3.97542366e+02 -7.62361318e+02  9.32519569e+02 -7.25785843e+02
  3.47171243e+02 -9.29035872e+01  1.06343292e+01]",0.9985
POLINOMIAL_10,y = 0.9986x + 0.0005,"Pol grau 10: [ 8.55178040e-02 -1.05831718e+00  2.02317755e+01 -1.06092529e+02
  3.29011010e+02 -6.35399122e+02  7.81932719e+02 -6.11757556e+02
  2.93945840e+02 -7.89676544e+01  9.06979349e+00]",0.9986
MLP,y = 0.9944x + 0.0022,"Pol grau 10: [ 2.03537051e-02  6.20884551e-01  3.05137109e+00 -1.29317167e+01
  3.14458829e+01 -4.60763227e+01  4.11743406e+01 -2.17747749e+01
  6.12899888e+00 -6.32310649e-01 -2.97523959e-02]",0.9998
