Modelo,Linear,MelhorPolinomial,R2_Polinomial
Linear,y = 0.9975x + 1.2098,"Pol grau 10: [-3.01129433e+01  1.56510762e+00 -3.93678372e-03  1.39006656e-05
 -2.80936027e-08  3.44089811e-11 -2.61793855e-14  1.23677712e-17
 -3.51292134e-21  5.47363833e-25 -3.58393180e-29]",0.9977
POLINOMIAL_2,y = 0.9975x + 1.1851,"Pol grau 10: [-1.67801541e+01  1.30014882e+00 -2.08776755e-03  7.63742827e-06
 -1.61788815e-08  2.07746494e-11 -1.65256132e-14  8.13349068e-18
 -2.39730705e-21  3.86026153e-25 -2.60142863e-29]",0.9976
POLINOMIAL_3,y = 0.9981x + 0.9160,"Pol grau 10: [ 2.13204333e+00  9.52412347e-01  2.33523685e-04 -2.32371813e-08
 -1.95154834e-09  4.84243187e-12 -5.39472119e-15  3.25837113e-18
 -1.09833643e-21  1.93852834e-25 -1.39321440e-29]",0.9982
POLINOMIAL_4,y = 0.9983x + 0.8094,"Pol grau 10: [-1.80822419e+00  1.05278317e+00 -5.28912220e-04  2.55248563e-06
 -6.54476689e-09  9.51211204e-12 -8.16873005e-15  4.20326246e-18
 -1.26798113e-21  2.06106877e-25 -1.38994170e-29]",0.9983
POLINOMIAL_5,y = 0.9964x + 1.6953,"Pol grau 10: [ 8.78881381e+01  4.09782802e-01 -3.54408297e-04  8.54704817e-06
 -2.28141045e-08  3.01182087e-11 -2.33936451e-14  1.11269986e-17
 -3.17390392e-21  4.96592760e-25 -3.26487429e-29]",0.998
POLINOMIAL_6,y = 0.9115x + 42.1039,"Pol grau 10: [ 3.55809938e+02 -1.07510478e+00  6.96337779e-03 -2.19840153e-05
  4.12467731e-08 -4.30497619e-11  2.64613425e-14 -9.92755627e-18
  2.25617504e-21 -2.87752975e-25  1.59055601e-29]",0.9816
POLINOMIAL_7,y = 0.8711x + 61.3311,"Pol grau 10: [ 3.42856509e+02 -1.55632327e-01  1.27277873e-04  3.56688417e-06
 -1.57712159e-08  3.24186601e-11 -3.35638570e-14  1.89828657e-17
 -5.98329290e-21  9.88391437e-25 -6.67263538e-29]",0.9786
POLINOMIAL_8,y = 0.8185x + 86.3203,"Pol grau 10: [ 2.26186725e+02  2.58405404e+00 -1.88573191e-02  6.88892933e-05
 -1.42198103e-07  1.76062716e-10 -1.32517485e-13  6.07802846e-17
 -1.65582277e-20  2.45887818e-24 -1.53113746e-28]",0.9757
POLINOMIAL_9,y = 0.7670x + 110.8286,"Pol grau 10: [ 1.87346298e+02  3.60867990e+00 -2.53167760e-02  8.82273803e-05
 -1.72392185e-07  2.00009439e-10 -1.40871267e-13  6.06399990e-17
 -1.55712303e-20  2.18937778e-24 -1.29655872e-28]",0.9709
POLINOMIAL_10,y = 0.7294x + 128.7137,"Pol grau 10: [ 1.80752442e+02  3.82957581e+00 -2.59268766e-02  8.63948160e-05
 -1.59985361e-07  1.74391417e-10 -1.14662158e-13  4.58323326e-17
 -1.08732711e-20  1.40526810e-24 -7.60951037e-29]",0.9635
MLP,y = 0.9968x + 0.8440,"Pol grau 10: [ 8.53067254e+00  8.94024599e-01  3.94937700e-04 -3.55023000e-07
 -1.00610871e-09  2.84774970e-12 -3.07517914e-15  1.76658625e-18
 -5.67252040e-22  9.59879071e-26 -6.66262904e-30]",0.9996
