Modelo,Linear,MelhorPolinomial,R2_Polinomial
Linear,y = 0.9988x + 0.1269,"Pol grau 10: [-9.26476517e-02  1.01641951e+00 -5.78097895e-04  7.83146924e-06
 -5.11750296e-08  1.83432805e-10 -3.84469062e-13  4.82222265e-16
 -3.55689722e-19  1.42098262e-22 -2.36933334e-26]",0.9989
POLINOMIAL_2,y = 0.9987x + 0.1364,"Pol grau 10: [-2.74306096e-01  1.02467161e+00 -7.31823872e-04  9.29050243e-06
 -5.84897285e-08  2.05164795e-10 -4.24717655e-13  5.28912784e-16
 -3.88507480e-19  1.54823607e-22 -2.57748624e-26]",0.9988
POLINOMIAL_3,y = 0.9989x + 0.1205,"Pol grau 10: [ 2.06336005e-01  1.00660566e+00 -4.13771494e-04  5.60235002e-06
 -3.66009260e-08  1.33722291e-10 -2.86704467e-13  3.66595169e-16
 -2.74206885e-19  1.10495873e-22 -1.84966266e-26]",0.9989
POLINOMIAL_4,y = 0.9990x + 0.1055,"Pol grau 10: [-6.29176741e-01  1.04739863e+00 -9.57248087e-04  1.00217463e-05
 -5.93647951e-08  2.02342757e-10 -4.08135967e-13  4.93957752e-16
 -3.51579550e-19  1.35423602e-22 -2.17521907e-26]",0.999
POLINOMIAL_5,y = 0.9912x + 0.9583,"Pol grau 10: [ 2.49138132e+01  4.12079827e-02  6.59163143e-03 -5.87777620e-06
 -7.66758478e-08  3.47851367e-10 -7.44013503e-13  9.34011457e-16
 -6.94441111e-19  2.80929905e-22 -4.74036138e-26]",0.9983
POLINOMIAL_6,y = 0.9561x + 4.7642,"Pol grau 10: [ 4.60331271e+01  3.42172212e-02 -1.13853596e-03  4.33104528e-05
 -1.89141140e-07  4.90746459e-10 -9.51216685e-13  1.27706806e-15
 -1.04366144e-18  4.56472618e-22 -8.14750539e-26]",0.9955
POLINOMIAL_7,y = 0.9012x + 10.7240,"Pol grau 10: [ 6.04116820e+01  4.94027790e-02 -1.83287299e-03  2.69299031e-05
 -1.28054248e-07  5.95884201e-10 -1.72516874e-12  2.70400500e-15
 -2.29127390e-18  9.93725881e-22 -1.73305085e-25]",0.9912
POLINOMIAL_8,y = 0.7333x + 28.9401,"Pol grau 10: [ 7.92427845e+01  3.65549159e-01 -1.18556012e-02  1.48343398e-04
 -9.03554220e-07  3.01675532e-09 -5.75616990e-12  6.46623161e-15
 -4.23847684e-18  1.50168122e-21 -2.22418039e-25]",0.9707
POLINOMIAL_9,y = 0.6873x + 33.9263,"Pol grau 10: [ 8.31657884e+01  3.18594734e-01 -1.01230844e-02  1.23101224e-04
 -7.19871992e-07  2.25902057e-09 -3.99840115e-12  4.13509199e-15
 -2.48243005e-18  8.02141214e-22 -1.07939088e-25]",0.9715
POLINOMIAL_10,y = 0.6591x + 36.9933,"Pol grau 10: [ 8.49952254e+01  3.14931248e-01 -9.73675644e-03  1.14614259e-04
 -6.43136505e-07  1.91252796e-09 -3.17470932e-12  3.04444443e-15
 -1.67008699e-18  4.83213700e-22 -5.65302411e-26]",0.9676
MLP,y = 0.9991x + -0.0433,"Pol grau 10: [-2.15468360e-02  1.00759661e+00 -3.07646089e-04  4.14558083e-06
 -2.78258574e-08  1.03519816e-10 -2.26828662e-13  2.98645017e-16
 -2.31359059e-19  9.68690207e-23 -1.68651554e-26]",0.9997
