Modelo,Linear,MelhorPolinomial,R2_Polinomial
Linear,y = 0.9985x + 0.0274,"Pol grau 10: [ 1.68512390e-01  8.11022678e-01  5.99576729e-02 -8.37975935e-03
  6.23391829e-04 -2.71510944e-05  7.24908839e-07 -1.19797546e-08
  1.19124251e-10 -6.51129642e-13  1.49907241e-15]",0.9986
POLINOMIAL_2,y = 0.9982x + 0.0320,"Pol grau 10: [ 2.38160033e-01  7.79176787e-01  6.90241320e-02 -9.69510240e-03
  7.24876639e-04 -3.17156086e-05  8.50681142e-07 -1.41270290e-08
  1.41223635e-10 -7.76418705e-13  1.79879718e-15]",0.9983
POLINOMIAL_3,y = 0.9983x + 0.0301,"Pol grau 10: [ 3.92417136e-02  9.23891028e-01  2.74090510e-02 -3.85300160e-03
  2.81312803e-04 -1.20240854e-05  3.16795645e-07 -5.19829067e-09
  5.16053531e-11 -2.82824815e-13  6.54927092e-16]",0.9984
POLINOMIAL_4,y = 0.9984x + 0.0285,"Pol grau 10: [ 1.63208698e-02  9.37583191e-01  2.43546748e-02 -3.45423858e-03
  2.49692223e-04 -1.04905252e-05  2.70570886e-07 -4.33295674e-09
  4.18810274e-11 -2.23148346e-13  5.02122254e-16]",0.9984
POLINOMIAL_5,y = 0.9986x + 0.0259,"Pol grau 10: [ 2.80589304e-02  9.49665865e-01  1.76992701e-02 -2.40636870e-03
  1.69125157e-04 -6.93310121e-06  1.74599443e-07 -2.73118731e-09
  2.58043718e-11 -1.34528516e-13  2.96554323e-16]",0.9986
POLINOMIAL_6,y = 0.9987x + 0.0240,"Pol grau 10: [ 1.09073298e-01  9.03485964e-01  2.48508123e-02 -2.87003038e-03
  1.84213481e-04 -7.23153418e-06  1.79995811e-07 -2.83798028e-09
  2.73270897e-11 -1.45985034e-13  3.30388920e-16]",0.9987
POLINOMIAL_7,y = 0.9982x + 0.0325,"Pol grau 10: [ 1.73554840e+00 -3.15462128e-03  1.69368323e-01 -1.21812467e-02
  4.04088953e-04 -4.33158810e-06 -1.02300191e-07  3.90939228e-09
 -5.23730830e-11  3.30800880e-13 -8.22095547e-16]",0.9986
POLINOMIAL_8,y = 0.9792x + 0.3784,"Pol grau 10: [ 6.26130961e+00 -6.81671998e-01  2.39834513e-01 -3.76211549e-02
  3.60304105e-03 -1.85769772e-04  5.45553048e-06 -9.45625542e-08
  9.57920904e-10 -5.24211946e-12  1.19633914e-14]",0.9966
POLINOMIAL_9,y = 0.9496x + 0.9182,"Pol grau 10: [ 9.38917670e+00 -2.28694614e+00  7.68285489e-01 -1.14404700e-01
  9.09705921e-03 -4.04985649e-04  1.06779072e-05 -1.70598577e-07
  1.62127659e-09 -8.42708534e-12  1.84338061e-14]",0.9918
POLINOMIAL_10,y = 0.9088x + 1.6593,"Pol grau 10: [ 1.19633559e+01 -3.25387189e+00  1.04384573e+00 -1.45663614e-01
  1.06129316e-02 -4.35634509e-04  1.06890614e-05 -1.60216197e-07
  1.43796205e-09 -7.09785423e-12  1.48144928e-14]",0.9874
MLP,y = 0.9987x + 0.0032,"Pol grau 10: [ 2.84015931e-02  9.61518279e-01  1.31549402e-02 -1.92721513e-03
  1.47232431e-04 -6.52015633e-06  1.75493821e-07 -2.90011777e-09
  2.86355114e-11 -1.54562163e-13  3.50009457e-16]",0.9999
