Modelo,Linear,MelhorPolinomial,R2_Polinomial
Linear,y = 0.9995x + 0.6078,"Pol grau 10: [-2.46128384e-02  1.00744505e+00 -6.69511835e-05  2.11892895e-07
 -3.27165091e-10  2.81521189e-13 -1.43409197e-16  4.40430699e-20
 -7.96826836e-24  7.77543255e-28 -3.13473532e-32]",0.9995
POLINOMIAL_2,y = 0.9994x + 0.6803,"Pol grau 10: [-4.58403247e-02  1.03100845e+00 -2.44785192e-04  6.81670335e-07
 -9.53434234e-10  7.66033007e-13 -3.74268817e-16  1.12736778e-19
 -2.03914766e-23  2.02509366e-27 -8.46365360e-32]",0.9994
POLINOMIAL_3,y = 0.9995x + 0.6430,"Pol grau 10: [-2.71248913e-02  1.03588761e+00 -2.94498684e-04  8.15827822e-07
 -1.12141741e-09  8.85182677e-13 -4.25892005e-16  1.26595477e-19
 -2.26256264e-23  2.22161083e-27 -9.18122426e-32]",0.9995
POLINOMIAL_4,y = 0.9947x + 6.4394,"Pol grau 10: [ 1.34769720e+02  1.52026792e-01 -2.36312581e-04  3.62834924e-06
 -5.84630527e-09  4.79994626e-12 -2.33924989e-15  6.99533360e-19
 -1.25895650e-22  1.25170473e-26 -5.28241121e-31]",0.9991
POLINOMIAL_5,y = 0.9787x + 25.9721,"Pol grau 10: [ 2.26221909e+02  1.84536625e-01 -1.61325992e-03  5.64731856e-06
 -7.48627053e-09  5.76795719e-12 -2.73280337e-15  8.00938498e-19
 -1.41556677e-22  1.38427657e-26 -5.75523020e-31]",0.9978
POLINOMIAL_6,y = 0.9439x + 68.5721,"Pol grau 10: [ 3.24833626e+02  1.07620691e-01 -9.58002903e-04  3.01242330e-06
 -4.15472317e-09  3.52425946e-12 -1.79183559e-15  5.50247076e-19
 -1.01096905e-22  1.02966587e-26 -4.47755735e-31]",0.9956
POLINOMIAL_7,y = 0.8929x + 130.8583,"Pol grau 10: [ 4.28317893e+02  1.19774682e-01 -1.06421875e-03  3.41045201e-06
 -5.26499985e-09  4.67736468e-12 -2.43681696e-15  7.73813263e-19
 -1.49173190e-22  1.60830444e-26 -7.41289034e-31]",0.9922
POLINOMIAL_8,y = 0.8346x + 202.1826,"Pol grau 10: [ 5.25889661e+02  1.59595252e-01 -1.39391035e-03  4.43523714e-06
 -6.87112326e-09  5.99459082e-12 -3.12072036e-15  1.01128944e-18
 -2.01121607e-22  2.23695516e-26 -1.05719698e-30]",0.9894
POLINOMIAL_9,y = 0.7773x + 272.1213,"Pol grau 10: [ 6.08084395e+02  2.43419663e-01 -2.12576522e-03  6.82500086e-06
 -1.07696032e-08  9.60996487e-12 -5.19156308e-15  1.74781366e-18
 -3.57431540e-22  4.03542319e-26 -1.91683358e-30]",0.9872
POLINOMIAL_10,y = 0.7265x + 334.2042,"Pol grau 10: [ 6.71540347e+02  3.64686998e-01 -3.21513455e-03  1.04538613e-05
 -1.67442387e-08  1.51762105e-11 -8.32267744e-15  2.82129243e-18
 -5.75214003e-22  6.42774088e-26 -3.01080982e-30]",0.9831
MLP,y = 1.0004x + 0.6741,"Pol grau 10: [ 1.93556306e-01  9.90970869e-01  9.52292328e-05 -2.94305153e-07
  4.37769602e-10 -3.69381317e-13  1.90119957e-16 -6.09003081e-20
  1.18474613e-23 -1.28004738e-27  5.88480503e-32]",0.9999
