Modelo,Linear,MelhorPolinomial,R2_Polinomial
Linear,y = 0.9985x + 0.1099,"Pol grau 10: [-3.33612912e-01  1.15055246e+00 -9.11879566e-03  2.29930805e-04
 -3.02717602e-06  2.24348114e-08 -9.30028330e-11  1.88863645e-13
 -5.76471371e-17 -4.02445808e-19  4.69495613e-22]",0.9986
POLINOMIAL_2,y = 0.9983x + 0.1298,"Pol grau 10: [-1.46025168e-01  1.03789476e+00 -1.00105593e-03 -9.87375345e-06
  7.21436905e-07 -1.19161519e-08  1.00014739e-10 -4.82190340e-13
  1.34604522e-15 -2.01745353e-18  1.25314700e-21]",0.9983
POLINOMIAL_3,y = 0.9984x + 0.1220,"Pol grau 10: [-1.65258564e-01  1.04793369e+00 -2.42398125e-03  5.21137996e-05
 -5.30091662e-07  1.93063791e-09  9.27712329e-12 -1.20779260e-13
  4.87900321e-16 -9.02280102e-19  6.43687961e-22]",0.9984
POLINOMIAL_4,y = 0.9986x + 0.1069,"Pol grau 10: [ 8.50726473e-02  9.78653992e-01  1.77878672e-03 -6.88174561e-05
  1.41179235e-06 -1.66568229e-08  1.18857805e-10 -5.20977751e-13
  1.36816653e-15 -1.96928454e-18  1.19098525e-21]",0.9986
POLINOMIAL_5,y = 0.9988x + 0.0926,"Pol grau 10: [ 2.79654458e-01  8.88520989e-01  1.00340512e-02 -3.59849891e-04
  6.63033911e-06 -7.05050712e-08  4.56847190e-10 -1.82944944e-12
  4.41362522e-15 -5.87083918e-18  3.30302154e-21]",0.9988
POLINOMIAL_6,y = 0.9972x + 0.2070,"Pol grau 10: [ 4.58828788e+00  1.20718901e-01  2.46614177e-02 -1.91467172e-04
 -1.00213261e-06  2.62643145e-08 -1.94838685e-10  7.84161311e-13
 -1.86775825e-15  2.49476264e-18 -1.44301189e-21]",0.9984
POLINOMIAL_7,y = 0.9206x + 5.8961,"Pol grau 10: [ 3.09506450e+01 -3.61326971e-01  2.60317503e-02 -8.38322833e-04
  1.74789765e-05 -1.87037257e-07  1.13897628e-09 -4.21298601e-12
  9.51739521e-15 -1.21899973e-17  6.80395923e-21]",0.988
POLINOMIAL_8,y = 0.8587x + 10.4993,"Pol grau 10: [ 4.05186807e+01 -1.60632273e-01  1.01487589e-02 -2.81568833e-04
  4.26207908e-06 -2.03480969e-08 -9.22303100e-12  3.01845092e-13
 -6.04817902e-16 -1.65499429e-19  9.46405904e-22]",0.9822
POLINOMIAL_9,y = 0.7967x + 15.1028,"Pol grau 10: [ 4.61998922e+01  3.71256306e-01 -3.24587945e-02  1.18993319e-03
 -2.27929373e-05  2.52321484e-07 -1.59125459e-09  5.71879059e-12
 -1.13694650e-14  1.12425417e-17 -3.99368755e-21]",0.9791
POLINOMIAL_10,y = 0.7413x + 19.2235,"Pol grau 10: [ 4.96055498e+01  8.54748053e-01 -6.66049718e-02  2.18330715e-03
 -3.70345048e-05  3.51713159e-07 -1.87784637e-09  5.51692987e-12
 -8.03462530e-15  3.64377703e-18  1.72517463e-21]",0.9787
MLP,y = 0.9967x + 0.1377,"Pol grau 10: [ 1.93468438e-01  9.11191496e-01  6.19275107e-03 -1.83589216e-04
  2.99287730e-06 -2.98444576e-08  1.89078075e-10 -7.60713958e-13
  1.87418475e-15 -2.56850094e-18  1.49478243e-21]",0.9997
