Modelo,Linear,MelhorPolinomial,R2_Polinomial
Linear,y = 0.9984x + 0.1911,"Pol grau 10: [ 6.37672594e-02  1.04320571e+00 -2.96503394e-03  8.50639477e-05
 -1.29661673e-06  1.14869789e-08 -6.19443901e-11  2.06107193e-13
 -4.13062147e-16  4.56958568e-19 -2.14265937e-22]",0.9985
POLINOMIAL_2,y = 0.9981x + 0.2243,"Pol grau 10: [-1.24511805e-01  1.05446030e+00 -4.09958174e-03  1.28556019e-04
 -2.05646767e-06  1.87197309e-08 -1.02468410e-10  3.43078633e-13
 -6.87140951e-16  7.55482632e-19 -3.50474252e-22]",0.9982
POLINOMIAL_3,y = 0.9982x + 0.2121,"Pol grau 10: [-1.08673645e-02  1.00748940e+00 -1.00038489e-03  4.40512308e-05
 -8.32798565e-07  8.27190664e-09 -4.74941073e-11  1.63383492e-13
 -3.32465700e-16  3.69060178e-19 -1.72259424e-22]",0.9983
POLINOMIAL_4,y = 0.9985x + 0.1867,"Pol grau 10: [-2.20827638e-02  1.01168363e+00 -8.12654530e-04  3.00080958e-05
 -5.67225171e-07  5.88070701e-09 -3.54262972e-11  1.27088379e-13
 -2.67260440e-16  3.03842406e-19 -1.44083662e-22]",0.9985
POLINOMIAL_5,y = 0.9985x + 0.1807,"Pol grau 10: [-6.24079558e-02  1.00792451e+00  4.48668411e-04 -1.55357947e-05
  1.29741865e-07  7.77003940e-11 -6.52908670e-12  3.84457319e-14
 -1.02918272e-16  1.34851689e-19 -7.00717512e-23]",0.9985
POLINOMIAL_6,y = 0.9774x + 2.7332,"Pol grau 10: [ 2.13969486e+01  1.00734975e-01 -9.72164586e-03  4.78131177e-04
 -6.53921225e-06  5.27361154e-08 -2.75769110e-10  9.18491053e-13
 -1.85177892e-15  2.04660012e-18 -9.49250260e-22]",0.9964
POLINOMIAL_7,y = 0.9457x + 6.5684,"Pol grau 10: [ 3.39606787e+01  1.47700277e-01 -1.35795259e-02  4.59141551e-04
 -6.78748058e-06  6.59417431e-08 -3.97322607e-10  1.42972847e-12
 -2.98426086e-15  3.33636831e-18 -1.54733116e-21]",0.9929
POLINOMIAL_8,y = 0.8966x + 12.4976,"Pol grau 10: [ 4.65007150e+01  2.29703082e-01 -2.07430356e-02  6.99368722e-04
 -1.18122232e-05  1.17656481e-07 -6.82423564e-10  2.32812848e-12
 -4.61584938e-15  4.93362579e-18 -2.20344937e-21]",0.9861
POLINOMIAL_9,y = 0.8352x + 19.9172,"Pol grau 10: [ 5.83142440e+01  2.83371739e-01 -2.52168226e-02  8.42129992e-04
 -1.41074450e-05  1.33249416e-07 -7.23969245e-10  2.31841390e-12
 -4.34186590e-15  4.41746180e-18 -1.89386520e-21]",0.9762
POLINOMIAL_10,y = 0.7598x + 29.0381,"Pol grau 10: [ 7.05602015e+01  1.15010757e-01 -7.59487017e-03  1.65743570e-04
 -1.22578946e-06 -4.54942813e-09  1.31089936e-10 -8.05551729e-13
  2.27221883e-15 -3.08345540e-18  1.63001759e-21]",0.9783
MLP,y = 1.0003x + 0.1177,"Pol grau 10: [ 1.45336839e-01  9.43139877e-01  3.33745982e-03 -7.69577227e-05
  9.44747014e-07 -6.90649196e-09  3.14538025e-11 -8.97502908e-14
  1.55397344e-16 -1.48705700e-19  6.01190211e-23]",0.9997
