Modelo,Linear,MelhorPolinomial,R2_Polinomial
Linear,y = 0.9987x + 0.0007,"Pol grau 10: [-6.29500848e-04  1.02356208e+00 -1.63109870e-01  6.07769863e-01
 -1.43127891e+00  2.12913810e+00 -1.96414468e+00  1.10577769e+00
 -3.67133884e-01  6.57668922e-02 -4.88864728e-03]",0.9987
POLINOMIAL_2,y = 0.9985x + 0.0007,"Pol grau 10: [-2.75741333e-04  9.83778786e-01  1.79854674e-01 -6.04438620e-01
  8.94309381e-01 -5.69439032e-01  1.46892411e-02  1.84369546e-01
 -1.03685648e-01  2.37168370e-02 -2.02861544e-03]",0.9985
POLINOMIAL_3,y = 0.9988x + 0.0006,"Pol grau 10: [-3.40740300e-05  1.02144628e+00 -2.45502465e-01  1.19888023e+00
 -3.02534875e+00  4.28550439e+00 -3.58748253e+00  1.81293905e+00
 -5.43277432e-01  8.88609844e-02 -6.10984557e-03]",0.9988
POLINOMIAL_4,y = 0.9990x + 0.0005,"Pol grau 10: [ 1.69734914e-04  9.48795517e-01  5.47020768e-01 -2.12952911e+00
  4.19822257e+00 -4.79991761e+00  3.37278348e+00 -1.47467111e+00
  3.90102712e-01 -5.70357358e-02  3.53202898e-03]",0.999
POLINOMIAL_5,y = 0.9991x + 0.0004,"Pol grau 10: [ 4.75477883e-04  9.16978402e-01  9.10741253e-01 -3.77685467e+00
  7.94531696e+00 -9.57841306e+00  6.99665384e+00 -3.14403239e+00
  8.48248655e-01 -1.25895912e-01  7.89345114e-03]",0.9992
POLINOMIAL_6,y = 0.9992x + 0.0004,"Pol grau 10: [ 6.30563438e-04  9.28185112e-01  7.10173164e-01 -2.80617927e+00
  5.80769296e+00 -7.00813163e+00  5.16595599e+00 -2.35085642e+00
  6.43317636e-01 -9.69394952e-02  6.17672085e-03]",0.9992
POLINOMIAL_7,y = 0.9993x + 0.0003,"Pol grau 10: [ 1.25330404e-04  9.78047557e-01  3.39425227e-01 -1.78179610e+00
  4.45239994e+00 -6.08037976e+00  4.85579351e+00 -2.32501657e+00
  6.56259814e-01 -1.00584167e-01  6.45268201e-03]",0.9993
POLINOMIAL_8,y = 0.9994x + 0.0003,"Pol grau 10: [ 3.58991423e-04  9.55150667e-01  4.92540235e-01 -2.10363822e+00
  4.58979328e+00 -5.71041696e+00  4.26313198e+00 -1.93840218e+00
  5.24650908e-01 -7.75872913e-02  4.82203396e-03]",0.9994
POLINOMIAL_9,y = 0.9994x + 0.0003,"Pol grau 10: [-2.13883608e-04  1.02864528e+00 -2.23455678e-01  6.63950193e-01
 -9.60078812e-01  7.41168976e-01 -3.13791670e-01  7.02225320e-02
 -7.21734929e-03  2.41763249e-04 -9.61979743e-06]",0.9994
POLINOMIAL_10,y = 0.9995x + 0.0003,"Pol grau 10: [ 3.01483530e-04  9.59681734e-01  4.76897232e-01 -2.16744118e+00
  4.98598563e+00 -6.49505657e+00  5.05334354e+00 -2.38781694e+00
  6.70584154e-01 -1.02817334e-01  6.62340265e-03]",0.9995
MLP,y = 1.0008x + 0.0014,"Pol grau 10: [ 1.45328903e-03  9.32351400e-01  7.51561737e-01 -3.12652178e+00
  6.65175500e+00 -8.13616792e+00  6.03173332e+00 -2.74768010e+00
  7.50176911e-01 -1.12447743e-01  7.10608585e-03]",0.9999
