Modelo,Linear,MelhorPolinomial,R2_Polinomial
Linear,y = 0.9975x + 0.0011,"Pol grau 10: [ 6.68653130e-02 -3.44744577e-01  1.03353529e+01 -4.08277146e+01
  9.31663737e+01 -1.29819108e+02  1.13232807e+02 -6.17746074e+01
  2.03820992e+01 -3.70286306e+00  2.82943013e-01]",0.9976
POLINOMIAL_2,y = 0.9964x + 0.0016,"Pol grau 10: [ 2.12600275e-01 -2.76690892e+00  2.69611818e+01 -1.02631190e+02
  2.30959341e+02 -3.23312587e+02  2.87801900e+02 -1.62471032e+02
  5.61911670e+01 -1.08410651e+01  8.92403047e-01]",0.9965
POLINOMIAL_3,y = 0.9968x + 0.0015,"Pol grau 10: [ 1.55711596e-01 -1.66540796e+00  1.86524439e+01 -6.97717366e+01
  1.54352012e+02 -2.12177870e+02  1.85213284e+02 -1.02382787e+02
  3.46189829e+01 -6.51860321e+00  5.22648030e-01]",0.9968
POLINOMIAL_4,y = 0.9972x + 0.0013,"Pol grau 10: [ 2.18762403e-01 -2.78568071e+00  2.66429518e+01 -1.00108048e+02
  2.22896841e+02 -3.09520864e+02  2.74125983e+02 -1.54462231e+02
  5.35031416e+01 -1.03749709e+01  8.61551253e-01]",0.9972
POLINOMIAL_5,y = 0.9974x + 0.0012,"Pol grau 10: [ 2.36601820e-01 -3.21983562e+00  3.04123260e+01 -1.16379193e+02
  2.62997619e+02 -3.70082421e+02  3.31990827e+02 -1.89489278e+02
  6.64956349e+01 -1.30639985e+01  1.09897833e+00]",0.9975
POLINOMIAL_6,y = 0.9979x + 0.0010,"Pol grau 10: [ 1.87338203e-01 -2.34871290e+00  2.41815089e+01 -9.26096734e+01
  2.09176080e+02 -2.93878816e+02  2.62996969e+02 -1.49661906e+02
  5.23424305e+01 -1.02464184e+01  8.58770010e-01]",0.998
POLINOMIAL_7,y = 0.9982x + 0.0008,"Pol grau 10: [ 1.64971627e-01 -1.87190650e+00  2.03262458e+01 -7.68510107e+01
  1.72539110e+02 -2.42299561e+02  2.17648774e+02 -1.24686282e+02
  4.39882486e+01 -8.69778667e+00  7.36949320e-01]",0.9982
POLINOMIAL_8,y = 0.9984x + 0.0008,"Pol grau 10: [ 1.60540198e-01 -1.70458091e+00  1.85146148e+01 -6.78491934e+01
  1.48197205e+02 -2.03329392e+02  1.79162630e+02 -1.01038733e+02
  3.51947084e+01 -6.88794892e+00  5.78808867e-01]",0.9984
POLINOMIAL_9,y = 0.9985x + 0.0007,"Pol grau 10: [ 3.41630816e-02  4.33817021e-01  3.94864796e+00 -1.50020717e+01
  3.41670536e+01 -4.88349285e+01  4.46462288e+01 -2.59933487e+01
  9.30166488e+00 -1.86199627e+00  1.59441873e-01]",0.9985
POLINOMIAL_10,y = 0.9986x + 0.0006,"Pol grau 10: [ 4.21524996e-02  2.78336974e-01  5.15186703e+00 -1.99134622e+01
  4.59958034e+01 -6.65960929e+01  6.16675487e+01 -3.63763433e+01
  1.31938734e+01 -2.67781446e+00  2.32521515e-01]",0.9986
MLP,y = 0.9923x + 0.0031,"Pol grau 10: [ 5.34750176e-02  1.84146441e-01  5.13635396e+00 -1.71946415e+01
  3.38514882e+01 -4.12203388e+01  3.15516207e+01 -1.49707481e+01
  4.17641012e+00 -6.03330331e-01  3.19181105e-02]",0.9991
