Criptomoeda,MSE_Linear,RetornoPercentual_Linear,Lucro_Linear,MSE_Polinomial_2,RetornoPercentual_Polinomial_2,Lucro_Polinomial_2,MSE_Polinomial_3,RetornoPercentual_Polinomial_3,Lucro_Polinomial_3,MSE_Polinomial_4,RetornoPercentual_Polinomial_4,Lucro_Polinomial_4,MSE_Polinomial_5,RetornoPercentual_Polinomial_5,Lucro_Polinomial_5,MSE_Polinomial_6,RetornoPercentual_Polinomial_6,Lucro_Polinomial_6,MSE_Polinomial_7,RetornoPercentual_Polinomial_7,Lucro_Polinomial_7,MSE_Polinomial_8,RetornoPercentual_Polinomial_8,Lucro_Polinomial_8,MSE_Polinomial_9,RetornoPercentual_Polinomial_9,Lucro_Polinomial_9,MSE_Polinomial_10,RetornoPercentual_Polinomial_10,Lucro_Polinomial_10,MSE_MLP,RetornoPercentual_MLP,Lucro_MLP,Média,Mediana,Moda,Desvio Padrão,Variância,Coef. Variação (%)
DASHUSDT,31.151375024294556,17069.97500000001,1706997.5009913847,355.9150784842258,18052.790900000015,1805279.1756258535,18727.982470935603,18061.817900000013,1806181.8854126781,6497542.621990251,18250.186600000012,1825018.716617839,9247123412.688372,16504.27270000001,1650427.1162630278,6469983442319.334,15590.007999999983,1559000.6751083764,3869912785444.224,15093.50229999998,1509350.0772801307,311343252448659.6,15065.430699999988,1506542.8566189143,426491101446944.6,15000.91229999999,1500090.982608763,7202246188383.975,14853.694899999988,1485369.2459885236,40.92667345032176,18483.280600000002,1848328.1091022415,107.32727142154863,58.828404525,3.0,154.33739016000186,23820.030001400635,143.8007210244001
LTCUSDT,5.776147889214225,6595.956599999987,659595.6758630897,0.19408632557590214,6895.006599999991,689500.6920398797,1.8576348172202306,6896.155399999992,689615.5832745372,472.66736658873725,6888.5783999999885,688857.8801145707,354089.2209759272,6861.551299999988,686155.1565316049,79187961831.12906,5723.788399999989,572378.8129848809,358663783407.7743,4926.015599999987,492601.52565457136,3582608014071.103,4858.270199999991,485826.99247748556,471795723607.2291,4639.632399999991,463963.1750168043,899062030395.2688,4604.518299999995,460451.7849526122,5.439823150377893,7065.920599999987,706592.0555076301,73.67690720013276,65.384,2.2,59.30945859960109,3517.611879377796,80.49938692254746
XRPUSDT,0.00046139309275735924,5382.863099999996,538286.2676061961,1.8526482565939225e-06,6637.858199999997,663785.7649815958,7.534763127082001e-06,6607.748299999996,660774.780850302,0.05053537394935568,6588.595299999997,658859.4409510496,572.849839560741,6650.689499999996,665068.8563381284,6812454.778673811,6775.484599999997,677548.3488616706,2737024435.242451,6705.086099999997,670508.5113023848,1866260272.0470052,6740.524699999997,674052.3713835103,206611084.35534564,6728.0980999999965,672809.6965563972,6400628465188.378,6596.044799999996,659604.4024801459,0.000761963983714318,6416.841499999995,641684.1600511606,0.5035507226077758,0.3707,0.00356027,0.5651026506069072,0.3193410057229522,112.22358051247903
XMRUSDT,15.496544023537222,3991.2895999999982,399128.92127942,0.2856379595132516,5609.095399999993,560909.4862351473,0.5333925111541553,6018.987199999994,601898.6697736171,423.42193227681054,5877.019299999994,587701.8669357861,6145809.5422082,4521.952399999997,452195.2917787165,11862013608.909338,3951.7393999999977,395174.01774388185,188423624671.5679,3820.334600000001,382033.6024290007,64948010877.718735,3535.0425000000014,353504.36251559533,780982707215.6111,3541.1902,354119.10579648317,598289121171.3846,3168.831999999998,316883.3066764483,13.381824057314697,5541.533699999993,554153.373966719,119.95369676504492,123.672261335,0.40000001,91.83422562147801,8433.524995496527,76.55806206736176
ETHUSDT,811.6078587460031,2936.7349999999965,293673.46464583493,1.4453050588004936,3815.3541999999966,381535.3683913696,2.244401493219462,3916.9955999999956,391699.5371703005,280360.9582057606,2656.7348999999986,265673.54259309184,19502136.640082154,2018.8780999999994,201887.74135488571,70778475941.62604,1735.3809999999999,173538.0237644186,68695915625.839294,1569.1273999999996,156912.67903126005,2794521987.2915087,1493.5488,149354.79713314533,254056899028.7475,1414.0231999999992,141402.21539763483,1489411354546.9495,1402.7434999999978,140274.2720964931,931.9435346850429,3563.085799999999,356308.5404277306,1212.2870429575996,581.7919764650001,0.67,1238.118249336589,1532936.7993403,102.13078301290506
ETCUSDT,0.32143359602108534,3266.0989999999947,326609.9345893498,0.017658035979736742,3471.2229999999954,347122.38457769324,1.147189485853032,3482.827299999996,348282.8211654041,1159.9975699745678,3463.399299999996,346340.02722147695,1247334.546827446,3469.953799999996,346995.4550356605,393882009.2650464,3493.878399999997,349387.9295031322,298751990903.90533,2915.111099999993,291511.1265620284,583923253520.1414,2585.9319999999984,258593.25994672315,11296137329980.38,2148.4311000000007,214843.2108405986,359291030045.82074,1489.2164000000005,148921.7173014221,0.32563552266765394,3430.0597999999973,343006.06450801337,18.05810507716917,16.40999888,26.476,14.11559604251304,199.2500516354098,78.16764816790973
ZRXUSDT,0.00045523999338603003,2520.7015000000006,252070.13035184384,0.0034931967967918184,2721.1232000000023,272112.31310496357,0.45887805243264806,2785.4744000000005,278547.4355232951,492.5128963546579,2721.671500000001,272167.14987405296,24348000.722727336,2731.281800000001,273128.16491725796,676201407379.899,2704.6920000000014,270469.18046777137,342471032850777.6,2730.3892000000005,273038.8950990755,322948256037.80927,2729.7609000000007,272976.0712893475,190950300076952.97,2720.584500000001,272058.4489933711,1044034862987567.6,2712.6146000000012,271261.4539927334,0.0010696887735410026,2924.8165999999987,292481.60645655304,0.4616196813718412,0.32874876,0.2253,0.34788641901024175,0.12102496053176949,75.36212883653336
BTCUSDT,171438.08941783322,2088.5059999999976,208850.51605129262,421.670498488215,2520.677999999996,252067.61722350854,43704.20942521388,2669.9290999999957,266992.81411867624,12002873.12280668,1294.2272000000007,129422.52625118362,516190813.044316,1048.0987000000016,104809.67125696884,6656707376.003149,905.5214000000004,90552.0036168705,140206649043.6258,821.9130000000004,82191.10411206429,148340592753.9023,763.0389000000009,76303.70878130881,460810502906.26855,707.9110000000005,70790.96206760083,1305186663656.6548,689.3891000000007,68938.76662666045,276674.0764273278,2555.818399999996,255581.713457334,23944.009592662038,10567.984820645,235.0,27011.278297793302,729609155.2808394,112.8101715515152
BATUSDT,0.00037018979006386724,2431.4233999999983,243142.50323532213,0.0021659738984951727,2370.968399999998,237097.02122447547,3.502455771535182,2379.994199999998,237999.60692749574,69879.24769163637,2441.150699999999,244115.24558951834,77050012289.74919,2466.3488999999986,246635.08526490943,1404733382009.4067,2432.5958999999984,243259.78377314203,4824345191915.706,2414.090999999998,241409.29016627092,729571163168.45,2412.1338999999984,241213.58938212838,2386109440704.4004,2432.5562999999984,243255.83314839576,2797024735452.381,2442.674499999999,244267.64192021353,0.0005099682863550409,2272.8267999999985,227282.76244019397,0.3450324285091927,0.23587057,0.161,0.27696975514094196,0.07671224526283334,80.27354308047676
BCHUSDT,537.6308660666766,2140.5895,214058.9325828408,316.101015593818,2210.6761000000006,221067.57075889333,21535.032085329367,2204.1204000000002,220412.00820245128,65326280.84386051,2234.0209,223402.0722899817,175737922945428.34,1625.4389999999994,162543.86809355064,4674341579963942.0,1317.9365000000003,131793.67458615958,1.934334833863874e+16,1191.6103,119160.93772753478,3.9106240095036826e+17,1088.3497000000004,108834.8550051554,1.158107662136942e+17,949.6592000000015,94965.81008030093,2.015646469652917e+17,865.3510000000005,86534.95529821287,508.7944875074867,2192.321900000001,219232.1586618442,456.9492275973669,397.33525625,397.33525625,353.1939833030891,124745.98984150279,77.29392281942974
