Criptomoeda,Modelo,Média Retorno (%),Retorno Esperado (%),N dias,Estatística t,p-valor,Rejeita H₀ (médio ≥ x%),Retorno,Grupo
BATUSDT,Linear,0.2653,0.3,1060,-0.6943,0.24381,Não,0.2653,Médio
BATUSDT,MLP,0.271,0.3,1077,-0.5697,0.2845,Não,0.271,Alto
BATUSDT,POLINOMIAL_10,0.2698,0.3,1065,-0.5906,0.27747,Não,0.2698,Médio
BATUSDT,POLINOMIAL_2,0.2699,0.3,1056,-0.5819,0.28038,Não,0.2699,Alto
BATUSDT,POLINOMIAL_3,0.2719,0.3,1062,-0.5482,0.29183,Não,0.2719,Alto
BATUSDT,POLINOMIAL_4,0.2724,0.3,1061,-0.5369,0.29574,Não,0.2724,Alto
BATUSDT,POLINOMIAL_5,0.271,0.3,1057,-0.5646,0.28624,Não,0.271,Alto
BATUSDT,POLINOMIAL_6,0.2726,0.3,1058,-0.5307,0.29786,Não,0.2726,Alto
BATUSDT,POLINOMIAL_7,0.2722,0.3,1059,-0.5392,0.29495,Não,0.2722,Alto
BATUSDT,POLINOMIAL_8,0.2722,0.3,1060,-0.5396,0.2948,Não,0.2722,Alto
BATUSDT,POLINOMIAL_9,0.2736,0.3,1061,-0.5158,0.30304,Não,0.2736,Alto
BCHUSDT,Linear,0.1532,0.3,990,-1.8885,0.02963,Sim,0.1532,Baixo
BCHUSDT,MLP,0.1498,0.3,994,-1.9605,0.02511,Sim,0.1498,Baixo
BCHUSDT,POLINOMIAL_10,0.2294,0.3,694,-0.6832,0.24734,Não,0.2294,Médio
BCHUSDT,POLINOMIAL_2,0.1542,0.3,995,-1.8878,0.02967,Sim,0.1542,Baixo
BCHUSDT,POLINOMIAL_3,0.1542,0.3,995,-1.8878,0.02967,Sim,0.1542,Baixo
BCHUSDT,POLINOMIAL_4,0.1542,0.3,995,-1.8878,0.02967,Sim,0.1542,Baixo
BCHUSDT,POLINOMIAL_5,0.1499,0.3,991,-1.9269,0.02714,Sim,0.1499,Baixo
BCHUSDT,POLINOMIAL_6,0.1874,0.3,852,-1.4311,0.07638,Não,0.1874,Baixo
BCHUSDT,POLINOMIAL_7,0.2022,0.3,817,-1.1172,0.13213,Não,0.2022,Baixo
