Criptomoeda,Modelo,Correlacao
BATUSDT,Linear,0.9986966876270313
BATUSDT,MLP,0.9967528858875414
BATUSDT,Polinomial_10,0.9999837770729507
BATUSDT,Polinomial_2,0.9998326916682491
BATUSDT,Polinomial_3,0.9998920380257222
BATUSDT,Polinomial_4,0.9999402231714776
BATUSDT,Polinomial_5,0.9999721769198012
BATUSDT,Polinomial_6,0.9999864563514844
BATUSDT,Polinomial_7,0.9999890148077172
BATUSDT,Polinomial_8,0.9999885457049108
BATUSDT,Polinomial_9,0.9999863951521983
BCHUSDT,Linear,0.9985165481890669
BCHUSDT,MLP,0.9989597644550685
BCHUSDT,Polinomial_10,0.9083866973893667
BCHUSDT,Polinomial_2,0.9998161172318996
BCHUSDT,Polinomial_3,0.9999577433716477
BCHUSDT,Polinomial_4,0.9999704272021966
BCHUSDT,Polinomial_5,0.9952053294137505
BCHUSDT,Polinomial_6,0.984167089577826
BCHUSDT,Polinomial_7,0.9709784744365099
BCHUSDT,Polinomial_8,0.9509791166531122
BCHUSDT,Polinomial_9,0.9285133444625502
BTCUSDT,Linear,0.9998838861037959
BTCUSDT,MLP,0.9998631666834957
BTCUSDT,Polinomial_10,0.7899743828822231
BTCUSDT,Polinomial_2,0.9999997193304684
BTCUSDT,Polinomial_3,0.9999862147885502
BTCUSDT,Polinomial_4,0.9967234279914666
BTCUSDT,Polinomial_5,0.9853856626021072
BTCUSDT,Polinomial_6,0.9656788420534186
BTCUSDT,Polinomial_7,0.8974806989621421
BTCUSDT,Polinomial_8,0.8521172144077447
BTCUSDT,Polinomial_9,0.8202918855222178
DASHUSDT,Linear,0.999390831242265
DASHUSDT,MLP,0.9994514539101241
DASHUSDT,Polinomial_10,0.8896524805447402
DASHUSDT,Polinomial_2,0.9999802131203224
DASHUSDT,Polinomial_3,0.9999880139737453
DASHUSDT,Polinomial_4,0.9999911033400424
DASHUSDT,Polinomial_5,0.9983787776682824
DASHUSDT,Polinomial_6,0.9874048759706809
DASHUSDT,Polinomial_7,0.959565377870254
DASHUSDT,Polinomial_8,0.9355271367572171
DASHUSDT,Polinomial_9,0.9058786724196005
ETCUSDT,Linear,0.999232169397295
ETCUSDT,MLP,0.9995782200840261
ETCUSDT,Polinomial_10,0.9414300174491431
ETCUSDT,Polinomial_2,0.9999696262365276
ETCUSDT,Polinomial_3,0.9999757839944652
ETCUSDT,Polinomial_4,0.9999879157416421
ETCUSDT,Polinomial_5,0.9999941986482335
ETCUSDT,Polinomial_6,0.9999944329613314
ETCUSDT,Polinomial_7,0.9988190489769897
ETCUSDT,Polinomial_8,0.9952245444992689
ETCUSDT,Polinomial_9,0.9863551503718374
ETHUSDT,Linear,0.9997417477307528
ETHUSDT,MLP,0.9997282082678266
ETHUSDT,Polinomial_10,0.8809178507867098
ETHUSDT,Polinomial_2,0.9999995618835119
ETHUSDT,Polinomial_3,0.9999995960034189
ETHUSDT,Polinomial_4,0.9985850924561045
ETHUSDT,Polinomial_5,0.991393295278484
ETHUSDT,Polinomial_6,0.97836131300496
ETHUSDT,Polinomial_7,0.9582650982700839
ETHUSDT,Polinomial_8,0.9329730534920242
ETHUSDT,Polinomial_9,0.9073725544618625
LTCUSDT,Linear,0.9992177857003496
LTCUSDT,MLP,0.9993291736073441
LTCUSDT,Polinomial_10,0.8897396646005185
LTCUSDT,Polinomial_2,0.9999890385933513
LTCUSDT,Polinomial_3,0.9999923844020747
LTCUSDT,Polinomial_4,0.9999946236725719
LTCUSDT,Polinomial_5,0.9999928398958025
LTCUSDT,Polinomial_6,0.9960614636426098
LTCUSDT,Polinomial_7,0.9825303361060372
LTCUSDT,Polinomial_8,0.9619847866460562
LTCUSDT,Polinomial_9,0.9384960367607728
XMRUSDT,Linear,0.9991348419675294
XMRUSDT,MLP,0.9993059696548797
XMRUSDT,Polinomial_10,0.8974764961840254
XMRUSDT,Polinomial_2,0.9999857672045895
XMRUSDT,Polinomial_3,0.9999878214642081
XMRUSDT,Polinomial_4,0.9999902792936074
XMRUSDT,Polinomial_5,0.9993605154199606
XMRUSDT,Polinomial_6,0.9932611711747222
XMRUSDT,Polinomial_7,0.983741530858806
XMRUSDT,Polinomial_8,0.970607866108061
XMRUSDT,Polinomial_9,0.952282188294549
XRPUSDT,Linear,0.9993348252495924
XRPUSDT,MLP,0.9992693124103459
XRPUSDT,Polinomial_10,0.9999987240369111
XRPUSDT,Polinomial_2,0.9999979935145596
XRPUSDT,Polinomial_3,0.9999982199350232
XRPUSDT,Polinomial_4,0.9999985367015373
XRPUSDT,Polinomial_5,0.9999990904641062
XRPUSDT,Polinomial_6,0.999999335459526
XRPUSDT,Polinomial_7,0.9999993441977555
XRPUSDT,Polinomial_8,0.9999992496213774
XRPUSDT,Polinomial_9,0.9999991162690858
ZRXUSDT,Linear,0.9986256067521923
ZRXUSDT,MLP,0.9972706853367743
ZRXUSDT,Polinomial_10,0.9999741800693277
ZRXUSDT,Polinomial_2,0.9998014385287127
ZRXUSDT,Polinomial_3,0.9998778484961781
ZRXUSDT,Polinomial_4,0.9999350546434723
ZRXUSDT,Polinomial_5,0.9999687357757305
ZRXUSDT,Polinomial_6,0.9999840563155721
ZRXUSDT,Polinomial_7,0.9999858493612546
ZRXUSDT,Polinomial_8,0.9999838644509266
ZRXUSDT,Polinomial_9,0.9999802006682462
