Criptomoeda,Modelo,RMSE
BATUSDT,Linear,0.013465
BATUSDT,MLP,0.004341
BATUSDT,POLINOMIAL_10,0.010573
BATUSDT,POLINOMIAL_2,0.017083
BATUSDT,POLINOMIAL_3,0.015941
BATUSDT,POLINOMIAL_4,0.014747
BATUSDT,POLINOMIAL_5,0.013514
BATUSDT,POLINOMIAL_6,0.012801
BATUSDT,POLINOMIAL_7,0.011909
BATUSDT,POLINOMIAL_8,0.011221
BATUSDT,POLINOMIAL_9,0.010812
BCHUSDT,Linear,20.611002
BCHUSDT,MLP,8.170637
BCHUSDT,POLINOMIAL_10,212.595744
BCHUSDT,POLINOMIAL_2,20.399307
BCHUSDT,POLINOMIAL_3,17.93517
BCHUSDT,POLINOMIAL_4,16.836196
BCHUSDT,POLINOMIAL_5,24.415778
BCHUSDT,POLINOMIAL_6,121.592468
BCHUSDT,POLINOMIAL_7,146.754239
BCHUSDT,POLINOMIAL_8,174.099484
BCHUSDT,POLINOMIAL_9,197.274069
BTCUSDT,Linear,407.562771
BTCUSDT,MLP,286.878612
BTCUSDT,POLINOMIAL_10,18383.675628
BTCUSDT,POLINOMIAL_2,430.758437
BTCUSDT,POLINOMIAL_3,433.03859
BTCUSDT,POLINOMIAL_4,2364.069637
BTCUSDT,POLINOMIAL_5,4998.492301
BTCUSDT,POLINOMIAL_6,7487.466704
BTCUSDT,POLINOMIAL_7,9579.67334
BTCUSDT,POLINOMIAL_8,15963.713907
BTCUSDT,POLINOMIAL_9,17445.4501
DASHUSDT,Linear,5.295099
DASHUSDT,MLP,2.983683
DASHUSDT,POLINOMIAL_10,90.394293
DASHUSDT,POLINOMIAL_2,5.488881
DASHUSDT,POLINOMIAL_3,5.159115
DASHUSDT,POLINOMIAL_4,4.826252
DASHUSDT,POLINOMIAL_5,14.549046
DASHUSDT,POLINOMIAL_6,32.43908
DASHUSDT,POLINOMIAL_7,48.66782
DASHUSDT,POLINOMIAL_8,79.950969
DASHUSDT,POLINOMIAL_9,86.564485
ETCUSDT,Linear,0.547057
ETCUSDT,MLP,0.158377
ETCUSDT,POLINOMIAL_10,4.255602
ETCUSDT,POLINOMIAL_2,0.591094
ETCUSDT,POLINOMIAL_3,0.573235
ETCUSDT,POLINOMIAL_4,0.557895
ETCUSDT,POLINOMIAL_5,0.532107
ETCUSDT,POLINOMIAL_6,0.512075
ETCUSDT,POLINOMIAL_7,0.594658
ETCUSDT,POLINOMIAL_8,2.032291
ETCUSDT,POLINOMIAL_9,3.165786
ETHUSDT,Linear,27.611451
ETHUSDT,MLP,15.023651
ETHUSDT,POLINOMIAL_10,647.468558
ETHUSDT,POLINOMIAL_2,29.211613
ETHUSDT,POLINOMIAL_3,28.400322
ETHUSDT,POLINOMIAL_4,89.873523
ETHUSDT,POLINOMIAL_5,180.496294
ETHUSDT,POLINOMIAL_6,293.281871
ETHUSDT,POLINOMIAL_7,405.14942
ETHUSDT,POLINOMIAL_8,503.604398
ETHUSDT,POLINOMIAL_9,584.243601
LTCUSDT,Linear,2.27555
LTCUSDT,MLP,1.03865
LTCUSDT,POLINOMIAL_10,30.100085
LTCUSDT,POLINOMIAL_2,2.473515
LTCUSDT,POLINOMIAL_3,2.398019
LTCUSDT,POLINOMIAL_4,2.244826
LTCUSDT,POLINOMIAL_5,2.089965
LTCUSDT,POLINOMIAL_6,3.125837
LTCUSDT,POLINOMIAL_7,16.67057
LTCUSDT,POLINOMIAL_8,22.245868
LTCUSDT,POLINOMIAL_9,26.680484
XMRUSDT,Linear,3.640799
XMRUSDT,MLP,1.683483
XMRUSDT,POLINOMIAL_10,44.8801
XMRUSDT,POLINOMIAL_2,3.944925
XMRUSDT,POLINOMIAL_3,3.835873
XMRUSDT,POLINOMIAL_4,3.598676
XMRUSDT,POLINOMIAL_5,3.545868
XMRUSDT,POLINOMIAL_6,13.769615
XMRUSDT,POLINOMIAL_7,21.345825
XMRUSDT,POLINOMIAL_8,29.443497
XMRUSDT,POLINOMIAL_9,37.170302
XRPUSDT,Linear,0.020265
XRPUSDT,MLP,0.006722
XRPUSDT,POLINOMIAL_10,0.013043
XRPUSDT,POLINOMIAL_2,0.021674
XRPUSDT,POLINOMIAL_3,0.019807
XRPUSDT,POLINOMIAL_4,0.017835
XRPUSDT,POLINOMIAL_5,0.016532
XRPUSDT,POLINOMIAL_6,0.01586
XRPUSDT,POLINOMIAL_7,0.014612
XRPUSDT,POLINOMIAL_8,0.013789
XRPUSDT,POLINOMIAL_9,0.013337
ZRXUSDT,Linear,0.017408
ZRXUSDT,MLP,0.010713
ZRXUSDT,POLINOMIAL_10,0.013061
ZRXUSDT,POLINOMIAL_2,0.020865
ZRXUSDT,POLINOMIAL_3,0.01978
ZRXUSDT,POLINOMIAL_4,0.018584
ZRXUSDT,POLINOMIAL_5,0.017705
ZRXUSDT,POLINOMIAL_6,0.015922
ZRXUSDT,POLINOMIAL_7,0.014792
ZRXUSDT,POLINOMIAL_8,0.014163
ZRXUSDT,POLINOMIAL_9,0.013558
