group1,group2,meandiff,p-adj,lower,upper,reject
BATUSDT,BCHUSDT,-0.0905,1.0,-1.3057,1.1247,False
BATUSDT,BTCUSDT,-0.1441,1.0,-1.3593,1.0711,False
BATUSDT,DASHUSDT,-1.956,0.0,-3.1712,-0.7408,True
BATUSDT,ETCUSDT,-0.0578,1.0,-1.273,1.1574,False
BATUSDT,ETHUSDT,0.2315,0.9998,-0.9837,1.4467,False
BATUSDT,LTCUSDT,0.9116,0.3212,-0.3036,2.1268,False
BATUSDT,XMRUSDT,-0.0293,1.0,-1.2445,1.1859,False
BATUSDT,XRPUSDT,0.3365,0.9963,-0.8787,1.5517,False
BATUSDT,ZRXUSDT,-0.0029,1.0,-1.2181,1.2123,False
BCHUSDT,BTCUSDT,-0.0536,1.0,-1.2689,1.1616,False
BCHUSDT,DASHUSDT,-1.8655,0.0001,-3.0807,-0.6503,True
BCHUSDT,ETCUSDT,0.0327,1.0,-1.1825,1.2479,False
BCHUSDT,ETHUSDT,0.3219,0.9973,-0.8933,1.5372,False
BCHUSDT,LTCUSDT,1.002,0.201,-0.2132,2.2173,False
BCHUSDT,XMRUSDT,0.0612,1.0,-1.154,1.2764,False
BCHUSDT,XRPUSDT,0.427,0.9795,-0.7882,1.6422,False
BCHUSDT,ZRXUSDT,0.0876,1.0,-1.1276,1.3028,False
BTCUSDT,DASHUSDT,-1.8119,0.0002,-3.0271,-0.5967,True
BTCUSDT,ETCUSDT,0.0864,1.0,-1.1288,1.3016,False
BTCUSDT,ETHUSDT,0.3756,0.9916,-0.8396,1.5908,False
BTCUSDT,LTCUSDT,1.0557,0.1469,-0.1595,2.2709,False
BTCUSDT,XMRUSDT,0.1148,1.0,-1.1004,1.33,False
BTCUSDT,XRPUSDT,0.4806,0.9559,-0.7346,1.6958,False
BTCUSDT,ZRXUSDT,0.1413,1.0,-1.074,1.3565,False
DASHUSDT,ETCUSDT,1.8982,0.0001,0.683,3.1134,True
DASHUSDT,ETHUSDT,2.1875,0.0,0.9722,3.4027,True
DASHUSDT,LTCUSDT,2.8676,0.0,1.6523,4.0828,True
DASHUSDT,XMRUSDT,1.9267,0.0001,0.7115,3.1419,True
DASHUSDT,XRPUSDT,2.2925,0.0,1.0773,3.5077,True
DASHUSDT,ZRXUSDT,1.9531,0.0,0.7379,3.1683,True
ETCUSDT,ETHUSDT,0.2892,0.9988,-0.926,1.5044,False
ETCUSDT,LTCUSDT,0.9693,0.2403,-0.2459,2.1845,False
ETCUSDT,XMRUSDT,0.0284,1.0,-1.1868,1.2437,False
ETCUSDT,XRPUSDT,0.3943,0.9882,-0.821,1.6095,False
ETCUSDT,ZRXUSDT,0.0549,1.0,-1.1603,1.2701,False
ETHUSDT,LTCUSDT,0.6801,0.7266,-0.5351,1.8953,False
ETHUSDT,XMRUSDT,-0.2608,0.9995,-1.476,0.9544,False
ETHUSDT,XRPUSDT,0.105,1.0,-1.1102,1.3202,False
ETHUSDT,ZRXUSDT,-0.2343,0.9998,-1.4495,0.9809,False
LTCUSDT,XMRUSDT,-0.9409,0.2783,-2.1561,0.2743,False
LTCUSDT,XRPUSDT,-0.5751,0.8762,-1.7903,0.6401,False
LTCUSDT,ZRXUSDT,-0.9144,0.3168,-2.1296,0.3008,False
XMRUSDT,XRPUSDT,0.3658,0.9931,-0.8494,1.581,False
XMRUSDT,ZRXUSDT,0.0264,1.0,-1.1888,1.2417,False
XRPUSDT,ZRXUSDT,-0.3394,0.996,-1.5546,0.8758,False
